,batch_size,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1
176,24,112,16,4.01414854199902,95.66163184603289,3.7225332260131836,3.6863794326782227
177,24,112,32,5.43726817499919,141.24740132026216,3.7225332260131836,3.6863794326782227
178,24,112,48,6.872778513001322,167.61779792855933,3.7225332260131836,3.6863794326782227
179,24,112,64,8.309474486999534,184.84923473838523,3.7225332260131836,3.6863794326782227
180,24,112,80,9.842996686000333,195.06254662574565,3.7225332260131836,3.6863794326782227
181,24,112,96,11.345619052000984,203.07397854977796,3.7225332260131836,3.6863794326782227
182,24,112,112,12.899262622000606,208.38400447909524,3.766507625579834,3.6863794326782227
183,24,112,128,14.503454475998296,211.81160702671488,3.846205711364746,3.7427101135253906
184,24,128,16,4.709933643000113,81.52981105597941,3.8731255531311035,3.8340392112731934
185,24,128,32,6.1507526069999585,124.86276868394378,3.8731255531311035,3.8340392112731934
186,24,128,48,7.629612187000021,150.9906364523842,3.8731255531311035,3.8340392112731934
187,24,128,64,9.129375348000394,168.24809381251148,3.8731255531311035,3.8340392112731934
188,24,128,80,10.660922247998315,180.09698929757204,3.8731255531311035,3.8340392112731934
189,24,128,96,12.212408146999223,188.6605796553015,3.8731255531311035,3.8340392112731934
190,24,128,112,13.809611922999466,194.64703389117128,3.8731255531311035,3.8340392112731934
191,24,128,128,15.433359745000416,199.0493353850035,3.9245715141296387,3.8340392112731934
192,32,16,16,1.6724780530003045,306.1325672295126,2.8697915077209473,2.8483428955078125
193,32,16,32,2.974762527001076,344.22915802705,2.9762768745422363,2.937669277191162
194,32,16,48,4.3236847879998095,355.25253928387616,3.0806756019592285,3.034972667694092
195,32,16,64,5.705182742000034,358.9718493893579,3.1891026496887207,3.1364150047302246
196,32,16,80,7.126961138001207,359.19937690553553,3.291670322418213,3.230311870574951
197,32,16,96,8.578239236998343,358.1154494678024,3.397167682647705,3.327981472015381
198,32,16,112,10.099153950999607,354.88121256387603,3.5027756690979004,3.4256510734558105
199,32,16,128,11.644264370999736,351.761164938952,3.6081624031066895,3.5233206748962402
200,32,32,16,2.1759133000014117,235.30349302045622,3.0686440467834473,3.0451979637145996
201,32,32,32,3.5227651150016754,290.6807483812366,3.080671787261963,3.0451979637145996
202,32,32,48,4.896199659000558,313.7126969845706,3.189453601837158,3.136422634124756
203,32,32,64,6.327658508998866,323.6584270607273,3.2925095558166504,3.2303194999694824
204,32,32,80,7.785394727001403,328.8208356502948,3.3971638679504395,3.327989101409912
205,32,32,96,9.287311126001441,330.7738869003109,3.5027718544006348,3.425658702850342
206,32,32,112,10.848111471997981,330.38008590263007,3.608158588409424,3.5233283042907715
207,32,32,128,12.438953709999623,329.28814557025345,3.713655948638916,3.620997905731201
208,32,48,16,2.7535067850003543,185.94470251139552,3.270023822784424,3.2426676750183105
209,32,48,32,4.132345541001996,247.80115550349262,3.270023822784424,3.2426676750183105
210,32,48,48,5.5606886410023435,276.22478062773314,3.2925057411193848,3.2426676750183105
211,32,48,64,7.026809967999725,291.4551566538223,3.397270679473877,3.3279967308044434
212,32,48,80,8.52048781400299,300.45228112324384,3.502768039703369,3.425666332244873
213,32,48,96,10.075814322000952,304.88850844463883,3.608154773712158,3.5233359336853027
214,32,48,112,11.673464198996953,307.02111548926126,3.7136521339416504,3.6210055351257324
215,32,48,128,13.30285363800067,307.9038611910641,3.8195042610168457,3.718675136566162
216,32,64,16,3.475394206998317,147.32141722771996,3.4714035987854004,3.4401373863220215
217,32,64,32,4.905610874997365,208.7405679115448,3.4714035987854004,3.4401373863220215
218,32,64,48,6.366166497999075,241.2754992321948,3.4714035987854004,3.4401373863220215
219,32,64,64,7.870537153998157,260.21095637159095,3.5026535987854004,3.4401373863220215
220,32,64,80,9.414100062000216,271.93252495088484,3.6081509590148926,3.523343563079834
221,32,64,96,11.009240858998965,279.0383132992266,3.7136483192443848,3.621123790740967
222,32,64,112,12.640651757999876,283.5296841186846,3.81950044631958,3.7190375328063965
223,32,64,128,14.310370815997885,286.2259862211949,3.9249978065490723,3.816352367401123
224,32,80,16,4.207874731000629,121.67662602404678,3.672783374786377,3.6376070976257324
225,32,80,32,5.660650165002153,180.89794814225382,3.672783374786377,3.6376070976257324
226,32,80,48,7.173677099002816,214.11613302381747,3.672783374786377,3.6376070976257324
227,32,80,64,8.713792047001334,235.02970795645456,3.672783374786377,3.6376070976257324
228,32,80,80,10.305265464001423,248.41669619697305,3.713888645172119,3.6376070976257324
229,32,80,96,11.939432134997332,257.2986692554023,3.8191418647766113,3.7186903953552246
230,32,80,112,13.601124220000202,263.5076293715334,3.9247498512268066,3.8164706230163574
231,32,80,128,15.332223194996914,267.1497765135961,4.030624866485596,3.914029598236084
232,32,96,16,4.77108621500156,107.31308908024681,3.8750176429748535,3.8359313011169434
233,32,96,32,6.293881535002583,162.69769208479067,3.8750176429748535,3.8359313011169434
234,32,96,48,7.822385857998597,196.3595286506353,3.8750176429748535,3.8359313011169434
235,32,96,64,9.41416992899758,217.54440544903898,3.8750176429748535,3.8359313011169434
236,32,96,80,11.041700208999828,231.8483522957275,3.8750176429748535,3.8359313011169434
237,32,96,96,12.711179223999352,241.6770266443815,3.924746036529541,3.8359313011169434
238,32,96,112,14.437050122000073,248.2501598119742,4.03013277053833,3.9140372276306152
239,32,96,128,16.17987996100055,253.15391769734157,4.135630130767822,4.011817455291748
240,32,112,16,5.5476227609979105,92.291783716725,4.07621431350708,4.033217906951904
241,32,112,32,7.107013513999846,144.08302418207873,4.07621431350708,4.033217906951904
242,32,112,48,8.676693385001272,177.02596275387168,4.07621431350708,4.033217906951904
243,32,112,64,10.321023887001502,198.42992540490977,4.07621431350708,4.033217906951904
244,32,112,80,12.005015334998461,213.24420907125216,4.07621431350708,4.033217906951904
245,32,112,96,13.702979992001929,224.1848124855357,4.07621431350708,4.033217906951904
246,32,112,112,15.46256277700013,231.78563939808475,4.13573694229126,4.033217906951904
247,32,112,128,17.25160093699742,237.4272402288071,4.241123676300049,4.109384059906006
248,32,128,16,5.646443096000439,90.67655359223693,4.277410984039307,4.230504512786865
249,32,128,32,7.217699222997908,141.8734652640009,4.277410984039307,4.230504512786865
250,32,128,48,8.824234744999558,174.06608554587777,4.277410984039307,4.230504512786865
251,32,128,64,10.52051449499777,194.66728561362382,4.277410984039307,4.230504512786865
252,32,128,80,12.232441150998056,209.27956802728025,4.277410984039307,4.230504512786865
253,32,128,96,13.979412788998161,219.7517196443096,4.277410984039307,4.230504512786865
254,32,128,112,15.795197126997664,226.90441728480303,4.277410984039307,4.230504512786865
255,32,128,128,17.612438521002332,232.56291257542995,4.347105503082275,4.230504512786865
256,40,16,16,1.9088165580000123,335.28627846280233,2.928010940551758,2.89975643157959
257,40,16,32,3.3108000439999614,386.6135021713848,3.054387092590332,3.0109567642211914
258,40,16,48,4.774454650999985,402.14016895057654,3.1931681632995605,3.139756679534912
259,40,16,64,6.29795859699999,406.4809192647673,3.318976402282715,3.255984306335449
260,40,16,80,7.864667553999993,406.8830599676741,3.4572091102600098,3.3844361305236816
261,40,16,96,9.486496092999971,404.78591487888906,3.582056999206543,3.4999475479125977
262,40,16,112,11.161555806999957,401.3777359954043,3.72135591506958,3.6293587684631348
263,40,16,128,12.89963667500001,396.910403680032,3.8455944061279297,3.744121551513672
264,40,32,16,2.512872705999996,254.68858747674304,3.1717448234558105,3.14927339553833
265,40,32,32,3.9763364679999995,321.9043484626966,3.1862540245056152,3.14927339553833
266,40,32,48,5.518241799000009,347.9369099679419,3.318121910095215,3.2551403045654297
267,40,32,64,7.067182806000005,362.23769361485483,3.4499897956848145,3.377227306365967
268,40,32,80,8.688205466,368.3154147910894,3.581857681274414,3.499314308166504
269,40,32,96,10.367722802999992,370.3802727913271,3.7137255668640137,3.622044086456299
270,40,32,112,12.094993878000025,370.40117962761576,3.8455934524536133,3.744131088256836
271,40,32,128,13.876057170999957,368.98089543047297,3.984175205230713,3.872626781463623
272,40,48,16,3.21199203499998,199.2532960935577,3.4229507446289062,3.3940048217773438
273,40,48,32,4.725989402999971,270.8427571139875,3.4229507446289062,3.3940048217773438
274,40,48,48,6.296934354000086,304.91027729713153,3.449988842010498,3.3940048217773438
275,40,48,64,7.926464063000026,322.9687259858825,3.5818567276000977,3.499323844909668
276,40,48,80,9.576019963000022,334.1680585842773,3.714656352996826,3.622631549835205
277,40,48,96,11.340167911000094,338.61932469934203,3.845592498779297,3.743497848510742
278,40,48,112,13.091926265000097,342.19563334822726,3.9838690757751465,3.8716883659362793
279,40,48,128,14.940276507000021,342.6978073398513,4.109328269958496,3.9876718521118164
280,40,64,16,4.2982119840000905,148.89912418986606,3.674675464630127,3.6394991874694824
281,40,64,32,5.856530824999936,218.55942335964977,3.674675464630127,3.6394991874694824
282,40,64,48,7.46958220700003,257.04248869510997,3.674675464630127,3.6394991874694824
283,40,64,64,9.153529887000104,279.6735283112722,3.7146553993225098,3.6394991874694824
284,40,64,80,10.871664416000044,294.3431546038614,3.8455915451049805,3.7435073852539062
285,40,64,96,12.654061877000004,303.4598721995801,3.98020601272583,3.8716979026794434
286,40,64,112,14.47715119499992,309.4531472149915,4.10932731628418,3.9876813888549805
287,40,64,128,16.362162537000017,312.9170724482209,4.244857311248779,4.113735675811768
288,40,80,16,4.648498976000042,137.678851453832,3.93209171295166,3.8866567611694336
289,40,80,32,6.271229668000046,204.10670119951195,3.93209171295166,3.8866567611694336
290,40,80,48,7.952861444000064,241.42253873271235,3.93209171295166,3.8866567611694336
291,40,80,64,9.670349772000009,264.72672244103785,3.93209171295166,3.8866567611694336
292,40,80,80,11.46782706700003,279.041529079939,3.9802050590515137,3.8866567611694336
293,40,80,96,13.29538018300002,288.8221282239052,4.109326362609863,3.9876909255981445
294,40,80,112,15.139153985000007,295.92142364354174,4.243330478668213,4.113745212554932
295,40,80,128,17.0865617259999,299.6506893606987,4.3730621337890625,4.23250675201416
296,40,96,16,5.396112446000188,118.60390353325444,4.178124904632568,4.13317346572876
297,40,96,32,7.058352881000019,181.3454245742742,4.178124904632568,4.13317346572876
298,40,96,48,8.791354102000014,218.396390103682,4.178124904632568,4.13317346572876
299,40,96,64,10.586308702999986,241.82177865968882,4.178124904632568,4.13317346572876
300,40,96,80,12.387965018000159,258.3152273476947,4.178124904632568,4.13317346572876
301,40,96,96,14.29084431299998,268.7035080570334,4.2411932945251465,4.13317346572876
302,40,96,112,16.26791092999997,275.3887711382993,4.373061180114746,4.231874465942383
303,40,96,128,18.208492058000047,281.18748019831145,4.506454944610596,4.35945463180542
304,40,112,16,6.86197385100013,93.26762443239568,4.430688858032227,4.381521224975586
305,40,112,32,8.591082332999804,148.9917044658393,4.430688858032227,4.381521224975586
306,40,112,48,10.380723625999963,184.95820418444563,4.430688858032227,4.381521224975586
307,40,112,64,12.201724468000066,209.80640947218495,4.430688858032227,4.381521224975586
308,40,112,80,14.10627432299998,226.84940947039917,4.430688858032227,4.381521224975586
309,40,112,96,16.020304776000103,239.69581438629527,4.430688858032227,4.381521224975586
310,40,112,112,18.02225859300006,248.58149586978269,4.506148815155029,4.381521224975586
311,40,112,128,20.069351607000044,255.11536696652328,4.636795997619629,4.476058006286621
312,40,128,16,6.8915229570000065,92.86771646750816,4.68169641494751,4.626969814300537
313,40,128,32,8.66703622,147.68601024722614,4.68169641494751,4.626969814300537
314,40,128,48,10.470766415000071,183.36766611940382,4.68169641494751,4.626969814300537
315,40,128,64,12.388005059999841,206.6515139121224,4.68169641494751,4.626969814300537
316,40,128,80,14.299566062000167,223.78301454221867,4.68169641494751,4.626969814300537
317,40,128,96,16.324988677999954,235.22221520281354,4.68169641494751,4.626969814300537
318,40,128,112,18.380399228999977,243.7379049379736,4.68169641494751,4.626969814300537
319,40,128,128,20.503226163999898,249.7167986660475,4.770493984222412,4.626969814300537
320,48,16,16,2.0449255710000216,375.5637911185335,2.97715425491333,2.951658248901367
321,48,16,32,3.504588237000007,438.2825873189726,3.1342501640319824,3.0846104621887207
322,48,16,48,5.015567029000067,459.36979541460516,3.2918343544006348,3.2311148643493652
323,48,16,64,6.583042791000025,466.6535062175002,3.450072765350342,3.3776192665100098
324,48,16,80,8.233153360000188,466.40695637423573,3.6085991859436035,3.525144100189209
325,48,16,96,9.922414936999985,464.4030741767403,3.766549587249756,3.670628070831299
326,48,16,112,11.731411766000065,458.2568668828677,3.924787998199463,3.8171324729919434
327,48,16,128,13.542866371999935,453.6705769099816,4.08302640914917,3.963636875152588
328,48,32,16,2.8685959850001836,267.7267917879871,3.273808002471924,3.2464518547058105
329,48,32,32,4.39278434400012,349.6643312567675,3.2925686836242676,3.2464518547058105
330,48,32,48,5.952334600999848,387.0750141655316,3.4500746726989746,3.3776307106018066
331,48,32,64,7.612002645000075,403.5731650747436,3.6096997261047363,3.525155544281006
332,48,32,80,9.284245397000177,413.60388871676514,3.7665514945983887,3.6706395149230957
